"Alan Dunlop",,,,
"Alan Lawther",,,,
"Barbara A. Briggs",,,,
"Bob Kidd",,,,
"Daniel MacAllister",,,,
"David H. Collins",,,,
"Denis Martin",,,,
"Edward Brown",,,,
"Henry Cushinan",,,,
"John K. Blair",,,,
"Kevin Smyth",,,,
"Leo Wilson",,,,
"Mel Lucas",,,,
"Michelle Byrne",,,,
"Neil Kelly",,,,
"Patrick John Rowan",,,,
"Patrick Rowan",,,,
"Rick Cairns",,,,
"Rodney Smith",,,,
"Roisin Lynch","Q76130547","2019 United Kingdom general election","South Antrim","Social Democratic and Labour Party"
"Samuel Lawther",,,,
"Samuel Robert Keightley",,,,
"Sean A. McKee",,,,
"Sean H. Laverty",,,,
"Sydney Stewart",,,,
"William Moffat Clow",,,,
